Anacropora matthai 93401-1	SHELL	0.007	0.0116	0.0196	0.0164	0.0174	0.009	0.008	0.0098	0.018	0.0234	0.0226	0.0376	0.0394	0.0342	0.0214	0.0148	0.029	0.0378	0.023	0.0192	0.0144	0.0218	0.0718	0.1078	0.0712	0.0506	0.0588	0.0406	0.0302	0.036	0.0396	0.027	0.0086	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anacropora matthai 93401-2	SHELL	0.0014	0.004	0.0056	0.0098	0.016	0.0232	0.0348	0.0354	0.031	0.029	0.0268	0.0312	0.0358	0.0274	0.0242	0.0276	0.0288	0.0402	0.042	0.0666	0.0466	0.0416	0.0402	0.029	0.0302	0.029	0.0234	0.0266	0.0242	0.0282	0.0196	0.0244	0.0052	0.0052	0.0078	0.0062	0.0056	0.0054	0.0048	0.0048	0.0036	0.0044	0.006	0.0056	0.0092	0.008	0.0058	0.0042	0.0034	0.0004	0
Astreopora myriophthalma 89494	SHELL	0.0008	0.0022	0.003	0.0086	0.011	0.0112	0.0154	0.0186	0.0194	0.0184	0.021	0.0202	0.0238	0.0236	0.0266	0.0296	0.03	0.0374	0.0396	0.0478	0.0436	0.0566	0.0716	0.0822	0.086	0.1078	0.12	0.0236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astreopora myriophthalma 89496	SHELL	0.0024	0.0026	0.0064	0.0084	0.0112	0.0104	0.0144	0.0164	0.0168	0.0154	0.0212	0.0236	0.024	0.0274	0.0298	0.0268	0.0262	0.0336	0.0328	0.0326	0.0412	0.0636	0.0836	0.1142	0.0864	0.1054	0.0952	0.0266	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barabattoia amoricum 93641	SHELL	0.0002	0.0016	0.0014	0.0034	0.0058	0.0148	0.0166	0.0158	0.0164	0.0158	0.0232	0.02	0.0202	0.018	0.0238	0.0254	0.0242	0.029	0.0358	0.051	0.0566	0.0848	0.116	0.1466	0.1306	0.0714	0.0302	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barabattoia amoricum 93642	SHELL	0.0006	0.0012	0.0028	0.0058	0.0054	0.0084	0.0124	0.013	0.0168	0.0158	0.0184	0.0184	0.0236	0.0222	0.0326	0.0342	0.0372	0.0446	0.067	0.0704	0.0814	0.0826	0.077	0.0668	0.0658	0.061	0.0346	0.0228	0.012	0.0092	0.0086	0.0098	0.0082	0.005	0.0044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastomussa merleti 83336	SHELL	0.0006	0.005	0.0052	0.0078	0.0144	0.0146	0.0128	0.0144	0.014	0.0152	0.0188	0.0232	0.0286	0.0266	0.035	0.0428	0.0412	0.0474	0.0448	0.0516	0.0544	0.0572	0.063	0.058	0.0594	0.0514	0.0368	0.0378	0.0314	0.0294	0.021	0.02	0.0112	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastomussa wellsi 83338	SHELL	0	0.0016	0.0026	0.0038	0.0038	0.0108	0.0104	0.0108	0.0158	0.0152	0.0164	0.0176	0.0238	0.0206	0.0326	0.0336	0.039	0.0484	0.0538	0.0566	0.0788	0.093	0.1042	0.086	0.0698	0.049	0.0398	0.03	0.022	0.009	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulastrea furcata 92348	SHELL	0.0036	0.012	0.0102	0.0172	0.012	0.0134	0.0096	0.0134	0.0108	0.0162	0.011	0.0128	0.0152	0.0178	0.0178	0.0248	0.027	0.0368	0.0478	0.0596	0.07	0.0742	0.0856	0.0704	0.0688	0.0774	0.1088	0.049	0.0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulastrea furcata 92349	SHELL	0.0018	0.0084	0.0124	0.01	0.0098	0.01	0.014	0.0158	0.0202	0.0158	0.017	0.022	0.0214	0.0176	0.02	0.0214	0.0314	0.0368	0.046	0.0506	0.0666	0.0608	0.0616	0.0838	0.0762	0.0886	0.0652	0.0568	0.03	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cladocora arbuscula 71916	SHELL	0.0008	0.0024	0.0082	0.004	0.0082	0.0108	0.0088	0.0146	0.0196	0.0226	0.0262	0.0332	0.028	0.0288	0.0284	0.0366	0.0376	0.0318	0.0348	0.0538	0.0628	0.0632	0.0644	0.0652	0.0586	0.047	0.0634	0.0482	0.0448	0.0146	0.0106	0.0072	0.0058	0.004	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cladocora arbuscula 84588	SHELL	0.0002	0.001	0.0034	0.006	0.0046	0.0076	0.009	0.0102	0.016	0.0154	0.0156	0.0184	0.02	0.0238	0.0292	0.035	0.0446	0.0524	0.0592	0.0678	0.0726	0.091	0.0798	0.0856	0.0702	0.0546	0.0402	0.0324	0.022	0.0058	0.0026	0.003	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colpophylla natans C6 17m	SHELL	0.0008	0.0022	0.0038	0.0054	0.0068	0.0064	0.0064	0.0078	0.0102	0.0118	0.014	0.019	0.0212	0.0144	0.0182	0.0188	0.0214	0.0408	0.0708	0.102	0.1402	0.1126	0.095	0.078	0.0584	0.0538	0.0452	0.0134	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coscinaraea columna 1115402	SHELL	0.0016	0.0036	0.0062	0.0074	0.0086	0.0104	0.0104	0.013	0.015	0.0164	0.0212	0.0294	0.0296	0.0342	0.0338	0.034	0.0346	0.032	0.0366	0.0502	0.0614	0.0484	0.0564	0.0724	0.0798	0.0708	0.0748	0.0718	0.0332	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coscinaraea columna 79579	SHELL	0.0004	0.003	0.005	0.0034	0.0068	0.0094	0.0108	0.0116	0.0146	0.0176	0.0154	0.0174	0.017	0.02	0.0238	0.0238	0.026	0.03	0.0522	0.0654	0.0828	0.087	0.1324	0.1272	0.0938	0.0768	0.0224	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coscinaraea columna 82553	SHELL	0.0008	0.001	0.0026	0.0032	0.0036	0.0054	0.0084	0.0102	0.0196	0.03	0.0298	0.0292	0.0348	0.0368	0.0392	0.0402	0.045	0.042	0.0466	0.0494	0.0516	0.0604	0.0692	0.0554	0.0488	0.0462	0.0402	0.0328	0.0346	0.0286	0.0254	0.0168	0.0122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
